l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,20.0
1.0,6.0,2.0,14.0,1.0,1.0,1.0,7.0
1.0,4.0,5.0,6.0,4.0,4.0,13.0,0.0
5.0,5.0,8.0,6.0,4.0,4.0,14.0,6.0
1.0,4.0,2.0,12.0,5.0,5.0,15.0,1.0
2.0,4.0,3.0,6.0,5.0,5.0,16.0,4.0
3.0,5.0,5.0,6.0,5.0,5.0,17.0,5.0
1.0,5.0,2.0,6.0,7.0,7.0,20.0,6.0
2.0,5.0,3.0,6.0,8.0,8.0,21.0,2.0
1.0,6.0,2.0,8.0,14.0,14.0,31.0,4.0
1.0,8.0,2.0,12.0,15.0,15.0,33.0,2.0
1.0,8.0,2.0,10.0,16.0,16.0,34.0,0.0
7.0,2.0,8.0,6.0,17.0,17.0,42.0,0.0
7.0,5.0,8.0,6.0,20.0,20.0,48.0,0.0
