l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
1.0,14.0,4.0,20.0,0.0
4.0,15.0,8.0,20.0,1.0
1.0,0.0,5.0,2.0,2.0
5.0,0.0,8.0,1.0,3.0
5.0,0.0,8.0,1.0,4.0
