l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,5.0,6.0,12.0,0.0,0.0,0.0,21.0
1.0,5.0,2.0,12.0,0.0,0.0,1.0,1.0
6.0,6.0,8.0,12.0,0.0,0.0,2.0,6.0
1.0,7.0,2.0,14.0,1.0,1.0,3.0,12.0
2.0,12.0,4.0,14.0,1.0,1.0,4.0,14.0
4.0,12.0,8.0,13.0,1.0,1.0,5.0,14.0
4.0,12.0,8.0,13.0,1.0,1.0,6.0,0.0
4.0,13.0,8.0,18.0,3.0,3.0,11.0,1.0
2.0,14.0,4.0,18.0,3.0,3.0,12.0,3.0
6.0,11.0,8.0,12.0,3.0,3.0,13.0,13.0
2.0,12.0,6.0,13.0,4.0,4.0,14.0,0.0
2.0,12.0,4.0,18.0,6.0,6.0,17.0,0.0
4.0,12.0,8.0,13.0,6.0,6.0,18.0,0.0
4.0,12.0,8.0,13.0,6.0,6.0,19.0,0.0
4.0,13.0,5.0,14.0,7.0,7.0,20.0,6.0
5.0,13.0,8.0,16.0,9.0,9.0,23.0,0.0
4.0,14.0,5.0,16.0,9.0,9.0,24.0,4.0
6.0,9.0,8.0,11.0,9.0,9.0,25.0,13.0
1.0,14.0,2.0,17.0,10.0,10.0,26.0,0.0
5.0,13.0,6.0,15.0,10.0,10.0,27.0,5.0
6.0,13.0,7.0,14.0,10.0,10.0,28.0,6.0
6.0,13.0,7.0,14.0,10.0,10.0,29.0,0.0
1.0,14.0,4.0,15.0,11.0,11.0,31.0,1.0
6.0,14.0,7.0,16.0,13.0,13.0,37.0,1.0
5.0,15.0,6.0,16.0,15.0,15.0,41.0,0.0
4.0,16.0,7.0,18.0,15.0,15.0,47.0,0.0
1.0,15.0,2.0,16.0,18.0,18.0,52.0,0.0
2.0,12.0,3.0,13.0,21.0,21.0,53.0,1.0
2.0,13.0,3.0,14.0,23.0,23.0,55.0,0.0
3.0,12.0,4.0,13.0,23.0,23.0,56.0,0.0
