l_l_m,l_l_n,u_r_m,u_r_n,n,u
8.0,0.0,9.0,5.0,7.0,7.0
9.0,0.0,10.0,6.0,7.0,7.0
5.0,9.0,6.0,11.0,7.0,7.0
5.0,6.0,6.0,8.0,7.0,7.0
6.0,4.0,7.0,13.0,7.0,7.0
7.0,4.0,8.0,5.0,7.0,7.0
7.0,4.0,8.0,5.0,7.0,7.0
9.0,16.0,10.0,20.0,7.0,7.0
8.0,17.0,9.0,20.0,7.0,7.0
7.0,16.0,8.0,17.0,7.0,7.0
