l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,2.0,3.0,4.0,16.0,16.0
3.0,3.0,4.0,4.0,16.0,16.0
5.0,4.0,7.0,6.0,16.0,16.0
-0.0,4.0,1.0,10.0,16.0,16.0
1.0,4.0,5.0,5.0,16.0,16.0
1.0,4.0,5.0,5.0,16.0,16.0
