l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,6.0,13.0,0.0,0.0,0.0,16.0
1.0,6.0,2.0,13.0,0.0,0.0,1.0,8.0
6.0,7.0,8.0,13.0,0.0,0.0,2.0,12.0
2.0,3.0,3.0,4.0,1.0,1.0,5.0,1.0
5.0,5.0,7.0,6.0,2.0,2.0,11.0,6.0
7.0,6.0,8.0,7.0,3.0,3.0,20.0,7.0
1.0,4.0,3.0,6.0,4.0,4.0,22.0,1.0
6.0,6.0,7.0,7.0,4.0,4.0,23.0,7.0
7.0,5.0,8.0,6.0,4.0,4.0,24.0,4.0
1.0,2.0,2.0,4.0,8.0,8.0,35.0,0.0
3.0,3.0,5.0,4.0,8.0,8.0,38.0,0.0
4.0,5.0,5.0,6.0,11.0,11.0,43.0,1.0
3.0,5.0,4.0,6.0,15.0,15.0,50.0,0.0
6.0,4.0,7.0,5.0,17.0,17.0,54.0,0.0
