l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,7.0,12.0,0.0,0.0,1.0,24.0
7.0,13.0,8.0,14.0,3.0,3.0,12.0,4.0
7.0,9.0,8.0,11.0,4.0,4.0,16.0,14.0
3.0,14.0,4.0,15.0,6.0,6.0,19.0,5.0
1.0,13.0,5.0,14.0,7.0,7.0,20.0,9.0
5.0,13.0,6.0,14.0,9.0,9.0,22.0,4.0
2.0,6.0,3.0,12.0,11.0,11.0,26.0,8.0
1.0,14.0,3.0,15.0,14.0,14.0,28.0,3.0
4.0,14.0,5.0,15.0,14.0,14.0,29.0,1.0
6.0,13.0,7.0,14.0,14.0,14.0,30.0,3.0
1.0,15.0,2.0,16.0,15.0,15.0,33.0,1.0
1.0,7.0,2.0,12.0,18.0,18.0,38.0,6.0
2.0,12.0,3.0,13.0,18.0,18.0,39.0,6.0
2.0,15.0,5.0,16.0,19.0,19.0,40.0,0.0
5.0,14.0,8.0,15.0,19.0,19.0,41.0,0.0
1.0,12.0,2.0,13.0,19.0,19.0,42.0,5.0
3.0,12.0,4.0,13.0,20.0,20.0,43.0,3.0
4.0,12.0,6.0,13.0,22.0,22.0,45.0,2.0
6.0,12.0,7.0,13.0,23.0,23.0,46.0,1.0
