l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,7.0,12.0,0.0,0.0,0.0,28.0
5.0,12.0,8.0,13.0,1.0,1.0,3.0,20.0
4.0,12.0,5.0,13.0,3.0,3.0,8.0,18.0
1.0,12.0,2.0,14.0,4.0,4.0,11.0,14.0
7.0,11.0,8.0,12.0,4.0,4.0,12.0,1.0
2.0,12.0,3.0,13.0,5.0,5.0,13.0,15.0
4.0,13.0,5.0,14.0,6.0,6.0,15.0,11.0
5.0,14.0,8.0,15.0,6.0,6.0,16.0,3.0
1.0,14.0,2.0,17.0,6.0,6.0,17.0,2.0
2.0,14.0,5.0,16.0,6.0,6.0,18.0,3.0
5.0,13.0,6.0,14.0,7.0,7.0,20.0,5.0
2.0,13.0,3.0,14.0,12.0,12.0,24.0,11.0
3.0,12.0,4.0,13.0,12.0,12.0,25.0,13.0
3.0,13.0,4.0,14.0,14.0,14.0,37.0,9.0
2.0,16.0,3.0,17.0,18.0,18.0,38.0,2.0
5.0,15.0,6.0,16.0,18.0,18.0,39.0,2.0
6.0,13.0,7.0,14.0,18.0,18.0,40.0,3.0
7.0,13.0,8.0,14.0,19.0,19.0,41.0,2.0
3.0,16.0,5.0,17.0,24.0,24.0,43.0,1.0
6.0,15.0,7.0,16.0,24.0,24.0,44.0,1.0
7.0,15.0,8.0,16.0,27.0,27.0,45.0,0.0
