r,c
2,15
2,19
3,0
3,15
3,16
3,17
3,18
3,19
4,0
4,15
4,16
4,17
4,18
4,19
5,0
5,14
5,15
5,16
5,17
5,18
5,19
6,0
6,1
6,14
6,15
6,16
6,17
6,18
6,19
7,0
7,1
7,13
7,14
7,15
7,16
7,17
7,18
7,19
8,0
8,1
8,13
8,14
8,15
8,16
8,17
8,18
8,19
