l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,6.0,7.0,0.0,0.0,0.0,12.0
1.0,7.0,7.0,13.0,0.0,0.0,1.0,28.0
7.0,7.0,8.0,13.0,0.0,0.0,2.0,21.0
7.0,7.0,8.0,13.0,1.0,1.0,3.0,0.0
1.0,6.0,7.0,7.0,1.0,1.0,4.0,0.0
7.0,8.0,8.0,14.0,2.0,2.0,5.0,2.0
6.0,5.0,8.0,7.0,3.0,3.0,10.0,5.0
6.0,5.0,8.0,7.0,3.0,3.0,11.0,0.0
6.0,6.0,8.0,7.0,5.0,5.0,23.0,8.0
1.0,5.0,2.0,7.0,6.0,6.0,24.0,7.0
1.0,5.0,2.0,15.0,10.0,10.0,32.0,0.0
2.0,6.0,3.0,7.0,10.0,10.0,36.0,4.0
1.0,6.0,2.0,7.0,13.0,13.0,39.0,3.0
3.0,6.0,5.0,7.0,25.0,25.0,56.0,3.0
5.0,5.0,6.0,7.0,27.0,27.0,57.0,0.0
