l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,4.0,3.0,12.0,0.0,0.0,0.0,1.0
3.0,5.0,5.0,12.0,0.0,0.0,1.0,17.0
5.0,5.0,8.0,11.0,0.0,0.0,2.0,17.0
1.0,6.0,3.0,13.0,1.0,1.0,3.0,1.0
3.0,12.0,5.0,13.0,1.0,1.0,4.0,9.0
5.0,11.0,8.0,13.0,1.0,1.0,5.0,10.0
2.0,4.0,3.0,11.0,3.0,3.0,10.0,5.0
1.0,12.0,3.0,13.0,4.0,4.0,13.0,7.0
1.0,2.0,2.0,11.0,5.0,5.0,15.0,4.0
1.0,11.0,3.0,12.0,7.0,7.0,21.0,7.0
1.0,12.0,2.0,13.0,7.0,7.0,22.0,0.0
1.0,12.0,2.0,13.0,7.0,7.0,23.0,0.0
1.0,8.0,2.0,11.0,10.0,10.0,31.0,5.0
2.0,9.0,3.0,11.0,10.0,10.0,32.0,7.0
2.0,6.0,3.0,9.0,11.0,11.0,36.0,5.0
2.0,11.0,3.0,12.0,11.0,11.0,37.0,1.0
1.0,6.0,2.0,8.0,12.0,12.0,38.0,3.0
1.0,5.0,3.0,6.0,13.0,13.0,41.0,0.0
2.0,8.0,3.0,9.0,15.0,15.0,45.0,0.0
2.0,12.0,3.0,13.0,17.0,17.0,46.0,0.0
