l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,6.0,7.0,13.0,0.0,0.0,0.0,14.0
7.0,6.0,8.0,13.0,0.0,0.0,1.0,5.0
2.0,2.0,8.0,6.0,1.0,1.0,2.0,3.0
7.0,7.0,8.0,13.0,5.0,5.0,13.0,4.0
7.0,3.0,8.0,6.0,6.0,6.0,18.0,0.0
7.0,6.0,8.0,13.0,9.0,9.0,26.0,0.0
7.0,6.0,8.0,13.0,10.0,10.0,27.0,0.0
5.0,5.0,8.0,6.0,11.0,11.0,28.0,1.0
1.0,5.0,4.0,6.0,13.0,13.0,31.0,2.0
4.0,5.0,5.0,6.0,16.0,16.0,37.0,0.0
1.0,4.0,5.0,5.0,16.0,16.0,38.0,0.0
7.0,7.0,8.0,8.0,16.0,16.0,40.0,1.0
7.0,8.0,8.0,12.0,17.0,17.0,41.0,0.0
7.0,6.0,8.0,7.0,17.0,17.0,42.0,0.0
