l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,15.0,2.0,20.0,26.0,26.0
2.0,16.0,3.0,19.0,26.0,26.0
5.0,15.0,6.0,18.0,26.0,26.0
1.0,0.0,2.0,2.0,26.0,26.0
3.0,15.0,4.0,16.0,26.0,26.0
