l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,3.0,14.0,0.0,0.0,0.0,0.0
3.0,6.0,6.0,13.0,0.0,0.0,1.0,24.0
6.0,7.0,7.0,13.0,0.0,0.0,2.0,24.0
7.0,7.0,8.0,8.0,0.0,0.0,3.0,16.0
7.0,11.0,8.0,12.0,0.0,0.0,4.0,20.0
1.0,6.0,3.0,13.0,1.0,1.0,5.0,21.0
7.0,8.0,8.0,11.0,1.0,1.0,6.0,7.0
7.0,12.0,8.0,13.0,1.0,1.0,7.0,18.0
1.0,13.0,3.0,15.0,2.0,2.0,8.0,5.0
3.0,13.0,8.0,14.0,2.0,2.0,9.0,6.0
3.0,13.0,8.0,14.0,2.0,2.0,10.0,0.0
6.0,6.0,8.0,7.0,3.0,3.0,11.0,7.0
7.0,8.0,8.0,9.0,6.0,6.0,12.0,12.0
1.0,13.0,3.0,14.0,7.0,7.0,13.0,7.0
1.0,4.0,2.0,5.0,10.0,10.0,14.0,0.0
-0.0,5.0,1.0,14.0,10.0,10.0,15.0,0.0
1.0,5.0,3.0,6.0,10.0,10.0,16.0,1.0
1.0,5.0,3.0,6.0,10.0,10.0,17.0,0.0
3.0,13.0,4.0,14.0,10.0,10.0,18.0,4.0
3.0,5.0,5.0,6.0,11.0,11.0,19.0,2.0
7.0,10.0,8.0,11.0,11.0,11.0,20.0,11.0
7.0,9.0,8.0,10.0,12.0,12.0,21.0,11.0
3.0,14.0,5.0,15.0,18.0,18.0,22.0,2.0
1.0,15.0,2.0,16.0,18.0,18.0,23.0,1.0
2.0,5.0,3.0,12.0,19.0,19.0,24.0,1.0
5.0,5.0,8.0,6.0,19.0,19.0,25.0,1.0
2.0,2.0,8.0,5.0,20.0,20.0,26.0,0.0
8.0,4.0,9.0,7.0,20.0,20.0,27.0,0.0
4.0,13.0,7.0,14.0,22.0,22.0,28.0,2.0
7.0,13.0,8.0,15.0,23.0,23.0,29.0,0.0
5.0,14.0,7.0,15.0,23.0,23.0,30.0,0.0
2.0,15.0,5.0,16.0,23.0,23.0,31.0,0.0
7.0,13.0,8.0,14.0,24.0,24.0,32.0,0.0
