l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,4.0,3.0,13.0,0.0,0.0,0.0,2.0
3.0,5.0,7.0,12.0,0.0,0.0,1.0,8.0
7.0,6.0,8.0,11.0,0.0,0.0,2.0,3.0
1.0,6.0,3.0,13.0,1.0,1.0,3.0,5.0
3.0,12.0,7.0,13.0,1.0,1.0,4.0,5.0
7.0,11.0,8.0,13.0,1.0,1.0,5.0,3.0
1.0,2.0,3.0,4.0,2.0,2.0,6.0,1.0
3.0,3.0,5.0,4.0,2.0,2.0,7.0,1.0
3.0,4.0,7.0,5.0,2.0,2.0,8.0,1.0
3.0,4.0,7.0,5.0,2.0,2.0,9.0,0.0
-0.0,4.0,1.0,10.0,2.0,2.0,10.0,1.0
1.0,13.0,7.0,14.0,3.0,3.0,11.0,2.0
7.0,13.0,8.0,14.0,3.0,3.0,12.0,1.0
1.0,14.0,3.0,16.0,4.0,4.0,13.0,1.0
3.0,14.0,7.0,15.0,4.0,4.0,14.0,0.0
3.0,14.0,7.0,15.0,4.0,4.0,15.0,0.0
7.0,9.0,8.0,11.0,4.0,4.0,16.0,1.0
7.0,12.0,8.0,13.0,4.0,4.0,17.0,0.0
-0.0,8.0,1.0,14.0,6.0,6.0,18.0,0.0
3.0,14.0,4.0,15.0,6.0,6.0,19.0,0.0
1.0,13.0,5.0,14.0,7.0,7.0,20.0,0.0
7.0,7.0,8.0,9.0,7.0,7.0,21.0,0.0
