l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,6.0,12.0,0.0,0.0,1.0,18.0
6.0,7.0,8.0,13.0,1.0,1.0,3.0,11.0
2.0,12.0,6.0,13.0,1.0,1.0,4.0,8.0
1.0,12.0,2.0,13.0,1.0,1.0,5.0,9.0
1.0,13.0,4.0,14.0,3.0,3.0,10.0,4.0
1.0,14.0,3.0,15.0,4.0,4.0,12.0,2.0
1.0,15.0,2.0,16.0,4.0,4.0,13.0,1.0
4.0,13.0,5.0,14.0,4.0,4.0,15.0,3.0
1.0,16.0,3.0,18.0,7.0,7.0,22.0,0.0
2.0,15.0,3.0,16.0,7.0,7.0,24.0,0.0
3.0,15.0,6.0,16.0,7.0,7.0,25.0,0.0
3.0,14.0,5.0,15.0,7.0,7.0,26.0,1.0
5.0,13.0,6.0,14.0,9.0,9.0,31.0,1.0
6.0,13.0,8.0,14.0,14.0,14.0,41.0,0.0
5.0,14.0,6.0,15.0,14.0,14.0,42.0,0.0
2.0,9.0,3.0,12.0,15.0,15.0,43.0,3.0
1.0,5.0,2.0,12.0,16.0,16.0,44.0,0.0
