l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
5.0,6.0,8.0,12.0,0.0,0.0,2.0,22.0
3.0,7.0,5.0,13.0,1.0,1.0,3.0,20.0
3.0,6.0,5.0,7.0,4.0,4.0,11.0,11.0
1.0,13.0,2.0,14.0,4.0,4.0,12.0,5.0
5.0,12.0,6.0,13.0,4.0,4.0,13.0,9.0
2.0,11.0,3.0,13.0,6.0,6.0,17.0,13.0
2.0,10.0,3.0,11.0,7.0,7.0,20.0,12.0
2.0,7.0,3.0,8.0,7.0,7.0,21.0,11.0
1.0,4.0,2.0,13.0,8.0,8.0,23.0,7.0
2.0,8.0,3.0,10.0,8.0,8.0,25.0,12.0
6.0,12.0,7.0,13.0,10.0,10.0,30.0,8.0
2.0,6.0,3.0,7.0,11.0,11.0,32.0,7.0
2.0,13.0,3.0,14.0,12.0,12.0,33.0,3.0
7.0,12.0,8.0,13.0,12.0,12.0,34.0,6.0
