l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
5.0,6.0,8.0,12.0,0.0,0.0,2.0,18.0
3.0,7.0,5.0,13.0,1.0,1.0,3.0,16.0
3.0,6.0,5.0,7.0,4.0,4.0,11.0,7.0
5.0,12.0,6.0,13.0,4.0,4.0,13.0,8.0
8.0,2.0,9.0,10.0,5.0,5.0,14.0,2.0
8.0,10.0,9.0,14.0,7.0,7.0,18.0,1.0
7.0,13.0,8.0,14.0,7.0,7.0,19.0,3.0
7.0,5.0,8.0,6.0,7.0,7.0,22.0,1.0
6.0,12.0,7.0,13.0,10.0,10.0,30.0,7.0
7.0,12.0,8.0,13.0,12.0,12.0,34.0,5.0
9.0,4.0,10.0,15.0,17.0,17.0,38.0,0.0
8.0,15.0,9.0,16.0,17.0,17.0,39.0,0.0
7.0,14.0,9.0,15.0,17.0,17.0,40.0,0.0
7.0,4.0,8.0,5.0,17.0,17.0,42.0,0.0
