l_l_m,l_l_n,u_r_m,u_r_n,n,u
2.0,15.0,3.0,16.0,27.0,27.0
7.0,14.0,8.0,15.0,27.0,27.0
7.0,9.0,8.0,10.0,27.0,27.0
