l_l_m,l_l_n,u_r_m,u_r_n,n,u
9.0,0.0,10.0,3.0,19.0,19.0
9.0,3.0,10.0,17.0,19.0,19.0
9.0,17.0,10.0,20.0,19.0,19.0
7.0,18.0,8.0,20.0,19.0,19.0
7.0,13.0,8.0,14.0,19.0,19.0
8.0,8.0,9.0,20.0,19.0,19.0
4.0,4.0,5.0,5.0,19.0,19.0
