l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,6.0,4.0,13.0,0.0,0.0,0.0,12.0
4.0,6.0,8.0,13.0,0.0,0.0,1.0,16.0
8.0,6.0,9.0,13.0,0.0,0.0,2.0,1.0
2.0,7.0,3.0,13.0,0.0,0.0,3.0,11.0
1.0,6.0,4.0,13.0,1.0,1.0,4.0,1.0
1.0,5.0,7.0,6.0,2.0,2.0,5.0,1.0
7.0,5.0,8.0,6.0,2.0,2.0,6.0,3.0
2.0,6.0,3.0,7.0,3.0,3.0,7.0,9.0
7.0,4.0,9.0,5.0,4.0,4.0,8.0,0.0
9.0,5.0,10.0,13.0,4.0,4.0,9.0,0.0
8.0,5.0,9.0,6.0,4.0,4.0,10.0,0.0
7.0,13.0,8.0,14.0,4.0,4.0,11.0,1.0
8.0,13.0,9.0,15.0,4.0,4.0,12.0,0.0
8.0,13.0,9.0,15.0,4.0,4.0,13.0,0.0
6.0,5.0,7.0,6.0,4.0,4.0,14.0,1.0
1.0,6.0,2.0,12.0,6.0,6.0,15.0,5.0
2.0,7.0,3.0,12.0,6.0,6.0,16.0,1.0
3.0,6.0,4.0,12.0,6.0,6.0,17.0,1.0
1.0,12.0,2.0,14.0,7.0,7.0,18.0,4.0
2.0,13.0,3.0,14.0,9.0,9.0,19.0,3.0
2.0,4.0,6.0,6.0,10.0,10.0,20.0,0.0
1.0,7.0,2.0,12.0,11.0,11.0,21.0,1.0
3.0,13.0,7.0,14.0,11.0,11.0,22.0,1.0
1.0,12.0,2.0,13.0,12.0,12.0,23.0,1.0
1.0,14.0,3.0,19.0,15.0,15.0,24.0,0.0
3.0,14.0,6.0,18.0,15.0,15.0,25.0,0.0
7.0,15.0,8.0,17.0,15.0,15.0,26.0,0.0
6.0,14.0,7.0,17.0,15.0,15.0,27.0,0.0
6.0,14.0,7.0,17.0,15.0,15.0,28.0,0.0
