l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,6.0,2.0,14.0,1.0,1.0
2.0,12.0,4.0,14.0,1.0,1.0
4.0,12.0,8.0,13.0,1.0,1.0
4.0,12.0,8.0,13.0,1.0,1.0
