l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,9.0,2.0,17.0,3.0,3.0
2.0,9.0,3.0,11.0,3.0,3.0
2.0,12.0,3.0,17.0,3.0,3.0
3.0,13.0,6.0,16.0,3.0,3.0
6.0,14.0,8.0,16.0,3.0,3.0
