l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
0.0,0.0,3.0,6.0,0.0
3.0,0.0,4.0,5.0,1.0
6.0,2.0,7.0,3.0,2.0
1.0,6.0,2.0,7.0,3.0
4.0,0.0,6.0,4.0,4.0
4.0,0.0,6.0,4.0,5.0
1.0,14.0,2.0,15.0,6.0
3.0,16.0,4.0,20.0,7.0
4.0,17.0,5.0,20.0,8.0
5.0,18.0,7.0,20.0,9.0
-0.0,15.0,3.0,20.0,10.0
