l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,6.0,12.0,0.0,0.0,1.0,22.0
6.0,7.0,8.0,13.0,1.0,1.0,3.0,15.0
1.0,12.0,2.0,13.0,1.0,1.0,5.0,13.0
1.0,14.0,3.0,15.0,4.0,4.0,12.0,3.0
-0.0,3.0,1.0,7.0,8.0,8.0,30.0,1.0
-0.0,7.0,1.0,13.0,10.0,10.0,32.0,0.0
1.0,13.0,2.0,14.0,10.0,10.0,33.0,1.0
2.0,12.0,3.0,13.0,10.0,10.0,34.0,5.0
2.0,9.0,3.0,12.0,15.0,15.0,43.0,7.0
1.0,5.0,2.0,12.0,16.0,16.0,44.0,4.0
2.0,8.0,3.0,9.0,19.0,19.0,48.0,3.0
2.0,5.0,3.0,8.0,20.0,20.0,49.0,2.0
3.0,12.0,4.0,13.0,20.0,20.0,50.0,2.0
4.0,12.0,6.0,13.0,22.0,22.0,51.0,0.0
2.0,13.0,3.0,14.0,22.0,22.0,52.0,0.0
