l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,6.0,4.0,13.0,0.0,0.0,0.0,12.0
4.0,6.0,8.0,13.0,0.0,0.0,1.0,21.0
2.0,7.0,3.0,13.0,0.0,0.0,3.0,18.0
1.0,6.0,2.0,13.0,1.0,1.0,4.0,1.0
2.0,6.0,4.0,13.0,3.0,3.0,7.0,1.0
7.0,13.0,8.0,15.0,4.0,4.0,11.0,2.0
7.0,6.0,8.0,13.0,4.0,4.0,13.0,0.0
1.0,8.0,2.0,11.0,5.0,5.0,19.0,11.0
1.0,5.0,2.0,8.0,6.0,6.0,20.0,3.0
1.0,11.0,2.0,12.0,6.0,6.0,23.0,10.0
1.0,12.0,2.0,14.0,7.0,7.0,25.0,9.0
2.0,13.0,3.0,14.0,7.0,7.0,26.0,8.0
1.0,6.0,2.0,8.0,7.0,7.0,27.0,7.0
3.0,7.0,4.0,13.0,8.0,8.0,28.0,5.0
3.0,13.0,5.0,14.0,11.0,11.0,30.0,4.0
5.0,13.0,6.0,19.0,15.0,15.0,32.0,0.0
6.0,13.0,7.0,18.0,15.0,15.0,33.0,0.0
3.0,13.0,4.0,14.0,17.0,17.0,39.0,1.0
5.0,13.0,7.0,14.0,18.0,18.0,40.0,1.0
1.0,8.0,2.0,9.0,19.0,19.0,44.0,0.0
