l_l_m,l_l_n,u_r_m,u_r_n,n,u
8.0,11.0,9.0,13.0,11.0,11.0
8.0,5.0,9.0,7.0,11.0,11.0
5.0,5.0,6.0,6.0,11.0,11.0
