l_l_m,l_l_n,u_r_m,u_r_n,n,u
7.0,7.0,8.0,10.0,7.0,7.0
3.0,13.0,5.0,14.0,7.0,7.0
7.0,11.0,8.0,12.0,7.0,7.0
