l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,6.0,4.0,13.0,0.0,0.0,0.0,4.0
4.0,6.0,8.0,13.0,0.0,0.0,1.0,25.0
2.0,7.0,3.0,13.0,0.0,0.0,3.0,3.0
1.0,6.0,2.0,13.0,1.0,1.0,4.0,7.0
2.0,6.0,3.0,7.0,1.0,1.0,5.0,16.0
2.0,6.0,3.0,7.0,1.0,1.0,6.0,0.0
3.0,8.0,4.0,13.0,2.0,2.0,7.0,18.0
2.0,4.0,8.0,6.0,3.0,3.0,10.0,0.0
2.0,7.0,3.0,11.0,3.0,3.0,11.0,20.0
7.0,6.0,8.0,14.0,4.0,4.0,18.0,0.0
7.0,5.0,8.0,6.0,4.0,4.0,20.0,1.0
2.0,5.0,6.0,6.0,6.0,6.0,23.0,2.0
2.0,11.0,3.0,12.0,6.0,6.0,25.0,18.0
3.0,7.0,4.0,8.0,7.0,7.0,31.0,17.0
3.0,6.0,4.0,7.0,8.0,8.0,32.0,8.0
6.0,5.0,7.0,6.0,10.0,10.0,34.0,1.0
1.0,8.0,2.0,12.0,11.0,11.0,35.0,9.0
1.0,6.0,2.0,8.0,16.0,16.0,43.0,5.0
1.0,8.0,2.0,9.0,19.0,19.0,47.0,0.0
1.0,7.0,2.0,8.0,20.0,20.0,50.0,2.0
