l_l_m,l_l_n,u_r_m,u_r_n,n,u
3.0,1.0,6.0,4.0,29.0,29.0
6.0,3.0,8.0,4.0,29.0,29.0
8.0,2.0,9.0,6.0,29.0,29.0
