l_l_m,l_l_n,u_r_m,u_r_n,n,u
8.0,3.0,9.0,4.0,27.0,27.0
9.0,3.0,10.0,5.0,27.0,27.0
9.0,3.0,10.0,5.0,27.0,27.0
9.0,16.0,10.0,17.0,27.0,27.0
