l_l_m,l_l_n,u_r_m,u_r_n,n,u
3.0,15.0,8.0,18.0,24.0,24.0
1.0,18.0,5.0,19.0,24.0,24.0
2.0,17.0,3.0,18.0,24.0,24.0
2.0,11.0,3.0,12.0,24.0,24.0
