l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,7.0,12.0,0.0,0.0,0.0,26.0
7.0,5.0,8.0,11.0,0.0,0.0,1.0,8.0
7.0,3.0,8.0,9.0,1.0,1.0,4.0,1.0
7.0,3.0,8.0,9.0,1.0,1.0,5.0,0.0
7.0,11.0,8.0,14.0,2.0,2.0,6.0,0.0
1.0,12.0,7.0,14.0,2.0,2.0,7.0,2.0
7.0,11.0,8.0,12.0,3.0,3.0,8.0,19.0
1.0,12.0,5.0,13.0,4.0,4.0,9.0,1.0
7.0,12.0,8.0,13.0,6.0,6.0,11.0,14.0
6.0,13.0,8.0,14.0,8.0,8.0,13.0,5.0
3.0,12.0,7.0,13.0,8.0,8.0,14.0,12.0
1.0,12.0,3.0,13.0,9.0,9.0,15.0,12.0
2.0,13.0,4.0,14.0,9.0,9.0,16.0,7.0
7.0,9.0,8.0,11.0,11.0,11.0,25.0,13.0
7.0,7.0,8.0,9.0,12.0,12.0,26.0,12.0
4.0,13.0,6.0,14.0,13.0,13.0,29.0,4.0
7.0,13.0,8.0,14.0,18.0,18.0,38.0,0.0
3.0,12.0,4.0,13.0,25.0,25.0,51.0,0.0
