l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,7.0,12.0,0.0,0.0,0.0,26.0
7.0,5.0,8.0,11.0,0.0,0.0,1.0,0.0
7.0,7.0,8.0,13.0,1.0,1.0,2.0,10.0
1.0,12.0,4.0,14.0,1.0,1.0,3.0,1.0
4.0,12.0,7.0,13.0,1.0,1.0,4.0,12.0
4.0,12.0,7.0,13.0,1.0,1.0,5.0,0.0
2.0,12.0,4.0,13.0,3.0,3.0,7.0,19.0
4.0,12.0,5.0,13.0,4.0,4.0,9.0,8.0
1.0,12.0,2.0,13.0,4.0,4.0,10.0,12.0
1.0,13.0,4.0,14.0,6.0,6.0,11.0,8.0
3.0,12.0,4.0,13.0,8.0,8.0,16.0,0.0
2.0,13.0,4.0,14.0,9.0,9.0,17.0,4.0
7.0,10.0,8.0,11.0,10.0,10.0,19.0,13.0
7.0,11.0,8.0,13.0,14.0,14.0,27.0,11.0
7.0,8.0,8.0,10.0,14.0,14.0,28.0,10.0
7.0,7.0,8.0,8.0,16.0,16.0,30.0,8.0
5.0,12.0,6.0,13.0,19.0,19.0,35.0,8.0
7.0,11.0,8.0,12.0,25.0,25.0,50.0,0.0
7.0,8.0,8.0,9.0,25.0,25.0,51.0,0.0
