l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,2.0,2.0,5.0,19.0,19.0
2.0,2.0,7.0,4.0,19.0,19.0
7.0,3.0,8.0,4.0,19.0,19.0
3.0,8.0,4.0,9.0,19.0,19.0
