l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
7.0,0.0,8.0,1.0,0.0
7.0,1.0,8.0,13.0,0.0
7.0,13.0,8.0,15.0,0.0
8.0,0.0,10.0,3.0,1.0
8.0,3.0,10.0,17.0,1.0
8.0,17.0,10.0,20.0,1.0
7.0,19.0,8.0,20.0,2.0
4.0,8.0,5.0,9.0,3.0
4.0,5.0,5.0,6.0,4.0
5.0,4.0,6.0,10.0,5.0
6.0,2.0,7.0,11.0,6.0
