l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,5.0,12.0,0.0,0.0,1.0,23.0
3.0,12.0,5.0,13.0,1.0,1.0,4.0,12.0
1.0,13.0,3.0,16.0,2.0,2.0,6.0,4.0
7.0,13.0,8.0,14.0,2.0,2.0,8.0,3.0
1.0,11.0,3.0,12.0,7.0,7.0,21.0,13.0
1.0,12.0,2.0,13.0,7.0,7.0,22.0,5.0
3.0,13.0,4.0,14.0,9.0,9.0,30.0,4.0
3.0,15.0,7.0,16.0,10.0,10.0,33.0,1.0
1.0,16.0,3.0,17.0,10.0,10.0,34.0,0.0
7.0,14.0,8.0,15.0,10.0,10.0,35.0,1.0
4.0,13.0,6.0,14.0,13.0,13.0,39.0,3.0
6.0,13.0,7.0,15.0,15.0,15.0,43.0,1.0
3.0,14.0,6.0,15.0,15.0,15.0,44.0,0.0
2.0,12.0,3.0,13.0,17.0,17.0,46.0,6.0
5.0,11.0,6.0,13.0,18.0,18.0,47.0,2.0
6.0,12.0,8.0,13.0,19.0,19.0,50.0,1.0
