l_l_m,l_l_n,u_r_m,u_r_n,n,u
7.0,15.0,8.0,18.0,24.0,24.0
1.0,17.0,3.0,19.0,24.0,24.0
3.0,16.0,4.0,19.0,24.0,24.0
4.0,16.0,7.0,18.0,24.0,24.0
4.0,16.0,7.0,18.0,24.0,24.0
