l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
0.0,0.0,1.0,1.0,0.0
0.0,1.0,1.0,15.0,0.0
0.0,15.0,1.0,16.0,0.0
1.0,0.0,2.0,1.0,1.0
1.0,1.0,2.0,13.0,1.0
1.0,13.0,2.0,14.0,1.0
2.0,1.0,3.0,13.0,2.0
3.0,3.0,4.0,11.0,3.0
4.0,3.0,5.0,10.0,4.0
5.0,4.0,6.0,10.0,5.0
