l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,3.0
7.0,5.0,9.0,6.0,6.0,6.0,11.0,1.0
8.0,6.0,10.0,16.0,6.0,6.0,15.0,1.0
7.0,6.0,8.0,13.0,6.0,6.0,16.0,4.0
8.0,0.0,9.0,5.0,7.0,7.0,18.0,0.0
5.0,9.0,6.0,11.0,7.0,7.0,20.0,3.0
5.0,6.0,6.0,8.0,7.0,7.0,21.0,0.0
6.0,4.0,7.0,13.0,7.0,7.0,22.0,0.0
2.0,8.0,3.0,11.0,8.0,8.0,28.0,2.0
3.0,9.0,5.0,11.0,8.0,8.0,29.0,2.0
6.0,9.0,7.0,13.0,8.0,8.0,30.0,2.0
1.0,11.0,4.0,16.0,8.0,8.0,33.0,0.0
4.0,11.0,6.0,13.0,8.0,8.0,34.0,2.0
1.0,6.0,5.0,7.0,9.0,9.0,35.0,1.0
2.0,7.0,3.0,8.0,9.0,9.0,36.0,1.0
3.0,7.0,7.0,9.0,9.0,9.0,37.0,1.0
1.0,11.0,4.0,13.0,9.0,9.0,38.0,1.0
2.0,5.0,6.0,6.0,10.0,10.0,39.0,0.0
5.0,6.0,7.0,7.0,10.0,10.0,41.0,0.0
