l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
9.0,9.0,10.0,20.0,0.0
3.0,17.0,4.0,19.0,1.0
3.0,14.0,4.0,15.0,2.0
4.0,13.0,5.0,19.0,3.0
5.0,13.0,6.0,20.0,4.0
6.0,12.0,7.0,20.0,5.0
7.0,10.0,9.0,20.0,6.0
