r,c
2,2
2,3
2,18
2,19
3,0
3,1
3,2
3,3
3,18
3,19
4,0
4,1
4,2
4,3
4,18
4,19
5,0
5,1
5,2
5,3
5,4
5,18
5,19
6,0
6,1
6,2
6,3
6,4
6,17
6,18
6,19
7,0
7,1
7,2
7,3
7,4
7,17
7,18
7,19
8,0
8,1
8,2
8,3
8,4
8,17
8,18
8,19
