l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,6.0,12.0,0.0,0.0,2.0,23.0
2.0,12.0,6.0,13.0,1.0,1.0,7.0,16.0
7.0,8.0,8.0,9.0,2.0,2.0,11.0,13.0
1.0,13.0,3.0,14.0,3.0,3.0,12.0,10.0
7.0,9.0,8.0,11.0,3.0,3.0,13.0,14.0
6.0,11.0,8.0,12.0,5.0,5.0,19.0,6.0
3.0,14.0,4.0,15.0,7.0,7.0,24.0,0.0
2.0,7.0,3.0,12.0,9.0,9.0,28.0,12.0
3.0,13.0,6.0,14.0,9.0,9.0,29.0,2.0
1.0,14.0,3.0,15.0,14.0,14.0,34.0,0.0
1.0,7.0,2.0,13.0,15.0,15.0,36.0,7.0
6.0,13.0,7.0,14.0,15.0,15.0,37.0,1.0
6.0,7.0,7.0,11.0,20.0,20.0,44.0,3.0
6.0,12.0,7.0,13.0,21.0,21.0,46.0,1.0
