l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,20.0
1.0,9.0,2.0,10.0,1.0,1.0,1.0,10.0
1.0,4.0,2.0,9.0,3.0,3.0,5.0,5.0
2.0,4.0,4.0,6.0,3.0,3.0,6.0,4.0
4.0,5.0,7.0,6.0,3.0,3.0,7.0,4.0
1.0,10.0,2.0,12.0,3.0,3.0,8.0,9.0
2.0,5.0,3.0,6.0,4.0,4.0,10.0,0.0
1.0,2.0,4.0,4.0,5.0,5.0,11.0,2.0
4.0,2.0,8.0,5.0,5.0,5.0,12.0,2.0
4.0,2.0,8.0,5.0,5.0,5.0,13.0,0.0
1.0,6.0,2.0,9.0,6.0,6.0,14.0,6.0
-0.0,8.0,1.0,19.0,7.0,7.0,16.0,1.0
-0.0,7.0,1.0,8.0,10.0,10.0,28.0,1.0
-0.0,8.0,1.0,10.0,17.0,17.0,40.0,0.0
-0.0,5.0,1.0,7.0,17.0,17.0,41.0,0.0
4.0,4.0,6.0,5.0,17.0,17.0,42.0,0.0
1.0,3.0,3.0,4.0,17.0,17.0,43.0,0.0
