l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
0.0,0.0,1.0,3.0,0.0
0.0,3.0,1.0,17.0,0.0
0.0,17.0,1.0,20.0,0.0
1.0,0.0,2.0,2.0,1.0
1.0,4.0,2.0,6.0,2.0
1.0,6.0,2.0,18.0,2.0
1.0,18.0,2.0,20.0,2.0
2.0,6.0,3.0,7.0,3.0
2.0,7.0,3.0,19.0,3.0
2.0,19.0,3.0,20.0,3.0
3.0,9.0,4.0,18.0,4.0
4.0,10.0,5.0,17.0,5.0
5.0,11.0,6.0,13.0,6.0
5.0,14.0,6.0,16.0,7.0
2.0,0.0,3.0,1.0,8.0
2.0,0.0,3.0,1.0,9.0
