l_l_m,l_l_n,u_r_m,u_r_n,n,u
2.0,15.0,5.0,18.0,27.0,27.0
5.0,16.0,6.0,18.0,27.0,27.0
6.0,15.0,7.0,18.0,27.0,27.0
7.0,15.0,8.0,19.0,27.0,27.0
8.0,17.0,9.0,19.0,27.0,27.0
