l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,25.0
8.0,7.0,9.0,12.0,0.0,0.0,1.0,0.0
1.0,8.0,2.0,11.0,1.0,1.0,2.0,17.0
2.0,2.0,8.0,6.0,2.0,2.0,3.0,2.0
1.0,5.0,2.0,8.0,3.0,3.0,4.0,10.0
1.0,11.0,2.0,13.0,4.0,4.0,5.0,14.0
2.0,5.0,3.0,6.0,4.0,4.0,6.0,12.0
3.0,5.0,8.0,6.0,5.0,5.0,7.0,5.0
2.0,0.0,8.0,2.0,6.0,6.0,8.0,1.0
1.0,4.0,3.0,5.0,9.0,9.0,9.0,4.0
1.0,0.0,2.0,4.0,11.0,11.0,10.0,0.0
2.0,2.0,3.0,4.0,11.0,11.0,11.0,1.0
3.0,2.0,8.0,5.0,11.0,11.0,12.0,0.0
3.0,2.0,8.0,5.0,11.0,11.0,13.0,0.0
1.0,9.0,2.0,11.0,12.0,12.0,14.0,0.0
1.0,6.0,2.0,8.0,13.0,13.0,15.0,6.0
-0.0,4.0,1.0,15.0,15.0,15.0,16.0,1.0
1.0,13.0,3.0,15.0,15.0,15.0,17.0,3.0
3.0,5.0,4.0,6.0,15.0,15.0,18.0,3.0
1.0,3.0,2.0,4.0,15.0,15.0,19.0,1.0
3.0,13.0,8.0,14.0,20.0,20.0,20.0,1.0
3.0,4.0,8.0,5.0,21.0,21.0,21.0,0.0
4.0,5.0,5.0,6.0,23.0,23.0,22.0,1.0
3.0,13.0,4.0,14.0,25.0,25.0,23.0,0.0
5.0,5.0,7.0,6.0,26.0,26.0,24.0,0.0
3.0,4.0,4.0,5.0,26.0,26.0,25.0,0.0
