l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
1.0,5.0,2.0,7.0,0.0
2.0,6.0,4.0,7.0,1.0
1.0,13.0,3.0,15.0,2.0
3.0,13.0,5.0,14.0,3.0
3.0,7.0,7.0,13.0,4.0
0.0,7.0,3.0,13.0,4.0
