l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
7.0,0.0,8.0,3.0,0.0
9.0,0.0,10.0,3.0,1.0
9.0,3.0,10.0,17.0,1.0
9.0,17.0,10.0,20.0,1.0
4.0,16.0,5.0,18.0,2.0
4.0,13.0,5.0,14.0,3.0
5.0,12.0,6.0,18.0,4.0
6.0,11.0,7.0,20.0,5.0
7.0,7.0,8.0,19.0,6.0
7.0,19.0,8.0,20.0,6.0
8.0,4.0,9.0,6.0,7.0
8.0,6.0,9.0,18.0,7.0
8.0,18.0,9.0,20.0,7.0
8.0,0.0,9.0,4.0,8.0
