l_l_m,l_l_n,u_r_m,u_r_n,n,u
-0.0,6.0,1.0,8.0,25.0,25.0
-0.0,11.0,1.0,12.0,25.0,25.0
3.0,5.0,4.0,6.0,25.0,25.0
2.0,4.0,3.0,5.0,25.0,25.0
