l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
7.0,4.0,8.0,5.0,3.0,3.0,8.0,7.0
1.0,3.0,2.0,6.0,6.0,6.0,14.0,7.0
2.0,3.0,3.0,4.0,6.0,6.0,15.0,5.0
2.0,5.0,3.0,6.0,7.0,7.0,18.0,12.0
3.0,5.0,5.0,6.0,8.0,8.0,19.0,10.0
1.0,8.0,2.0,12.0,9.0,9.0,20.0,10.0
6.0,3.0,8.0,4.0,10.0,10.0,21.0,3.0
2.0,4.0,5.0,5.0,10.0,10.0,22.0,8.0
5.0,4.0,7.0,6.0,10.0,10.0,23.0,9.0
1.0,7.0,2.0,8.0,12.0,12.0,27.0,9.0
1.0,6.0,2.0,7.0,13.0,13.0,29.0,7.0
2.0,6.0,4.0,12.0,15.0,15.0,30.0,8.0
4.0,6.0,7.0,13.0,15.0,15.0,31.0,10.0
4.0,2.0,6.0,4.0,16.0,16.0,35.0,2.0
1.0,2.0,2.0,3.0,17.0,17.0,38.0,3.0
2.0,1.0,3.0,3.0,18.0,18.0,40.0,2.0
7.0,8.0,8.0,9.0,25.0,25.0,49.0,0.0
3.0,3.0,4.0,4.0,25.0,25.0,50.0,0.0
