l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
1.0,8.0,2.0,9.0,0.0
3.0,11.0,4.0,19.0,1.0
4.0,12.0,6.0,18.0,2.0
6.0,13.0,7.0,14.0,3.0
6.0,16.0,7.0,17.0,4.0
-0.0,9.0,3.0,20.0,5.0
