l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
5.0,6.0,8.0,12.0,0.0,0.0,2.0,21.0
3.0,7.0,5.0,13.0,1.0,1.0,3.0,19.0
3.0,6.0,5.0,7.0,3.0,3.0,9.0,13.0
2.0,9.0,3.0,10.0,5.0,5.0,13.0,13.0
3.0,5.0,4.0,6.0,8.0,8.0,22.0,4.0
2.0,8.0,3.0,9.0,9.0,9.0,25.0,10.0
2.0,7.0,3.0,8.0,10.0,10.0,29.0,9.0
2.0,6.0,3.0,7.0,11.0,11.0,32.0,8.0
6.0,5.0,8.0,6.0,13.0,13.0,33.0,4.0
4.0,5.0,6.0,6.0,14.0,14.0,34.0,3.0
2.0,4.0,3.0,6.0,14.0,14.0,35.0,3.0
7.0,4.0,8.0,5.0,17.0,17.0,40.0,2.0
6.0,4.0,7.0,5.0,19.0,19.0,45.0,1.0
3.0,4.0,6.0,5.0,20.0,20.0,46.0,0.0
