l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
7.0,15.0,9.0,20.0,0.0
2.0,17.0,3.0,19.0,1.0
3.0,17.0,4.0,20.0,2.0
4.0,16.0,7.0,20.0,3.0
3.0,0.0,7.0,3.0,4.0
7.0,0.0,9.0,4.0,5.0
2.0,1.0,3.0,2.0,6.0
