l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,5.0,6.0,12.0,0.0,0.0,1.0,23.0
6.0,7.0,8.0,13.0,1.0,1.0,3.0,16.0
1.0,12.0,2.0,13.0,1.0,1.0,5.0,14.0
1.0,14.0,3.0,15.0,4.0,4.0,12.0,4.0
4.0,13.0,5.0,14.0,4.0,4.0,15.0,4.0
3.0,14.0,5.0,15.0,7.0,7.0,26.0,2.0
5.0,13.0,6.0,14.0,9.0,9.0,31.0,2.0
1.0,13.0,2.0,14.0,10.0,10.0,33.0,2.0
2.0,12.0,3.0,13.0,10.0,10.0,34.0,6.0
6.0,13.0,8.0,14.0,14.0,14.0,41.0,1.0
2.0,9.0,3.0,12.0,15.0,15.0,43.0,8.0
1.0,5.0,2.0,12.0,16.0,16.0,44.0,5.0
2.0,8.0,3.0,9.0,19.0,19.0,48.0,4.0
3.0,12.0,4.0,13.0,20.0,20.0,50.0,3.0
4.0,12.0,6.0,13.0,22.0,22.0,51.0,1.0
2.0,13.0,3.0,14.0,22.0,22.0,52.0,1.0
