l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
1.0,2.0,2.0,5.0,0.0
2.0,3.0,4.0,5.0,1.0
4.0,4.0,6.0,5.0,2.0
1.0,10.0,3.0,12.0,3.0
3.0,10.0,6.0,11.0,4.0
3.0,5.0,7.0,10.0,5.0
0.0,5.0,3.0,10.0,5.0
