l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,7.0,2.0,11.0,3.0,3.0,6.0,14.0
4.0,13.0,6.0,14.0,6.0,6.0,13.0,9.0
7.0,6.0,8.0,13.0,6.0,6.0,16.0,18.0
5.0,9.0,6.0,11.0,7.0,7.0,20.0,17.0
5.0,6.0,6.0,8.0,7.0,7.0,21.0,5.0
2.0,8.0,3.0,11.0,8.0,8.0,28.0,15.0
3.0,9.0,5.0,11.0,8.0,8.0,29.0,16.0
6.0,9.0,7.0,13.0,8.0,8.0,30.0,16.0
4.0,11.0,6.0,13.0,8.0,8.0,34.0,16.0
2.0,7.0,3.0,8.0,9.0,9.0,36.0,12.0
1.0,11.0,4.0,13.0,9.0,9.0,38.0,15.0
2.0,13.0,3.0,14.0,15.0,15.0,50.0,7.0
3.0,13.0,4.0,15.0,15.0,15.0,51.0,7.0
3.0,8.0,4.0,9.0,16.0,16.0,53.0,8.0
6.0,7.0,7.0,8.0,17.0,17.0,58.0,4.0
4.0,8.0,5.0,9.0,18.0,18.0,59.0,7.0
5.0,8.0,7.0,9.0,19.0,19.0,60.0,6.0
3.0,7.0,5.0,8.0,20.0,20.0,61.0,4.0
1.0,13.0,2.0,14.0,23.0,23.0,64.0,2.0
2.0,6.0,4.0,7.0,27.0,27.0,68.0,0.0
