l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,7.0,2.0,11.0,3.0,3.0,6.0,8.0
4.0,13.0,6.0,14.0,6.0,6.0,13.0,3.0
7.0,13.0,8.0,16.0,6.0,6.0,14.0,4.0
7.0,6.0,8.0,13.0,6.0,6.0,16.0,10.0
6.0,13.0,7.0,15.0,6.0,6.0,17.0,3.0
5.0,9.0,6.0,11.0,7.0,7.0,20.0,9.0
2.0,8.0,3.0,11.0,8.0,8.0,28.0,7.0
3.0,9.0,5.0,11.0,8.0,8.0,29.0,8.0
6.0,9.0,7.0,13.0,8.0,8.0,30.0,8.0
4.0,14.0,6.0,15.0,8.0,8.0,32.0,2.0
4.0,11.0,6.0,13.0,8.0,8.0,34.0,8.0
1.0,11.0,4.0,13.0,9.0,9.0,38.0,7.0
1.0,13.0,2.0,16.0,13.0,13.0,46.0,2.0
2.0,14.0,3.0,15.0,13.0,13.0,47.0,2.0
2.0,13.0,3.0,14.0,15.0,15.0,50.0,1.0
3.0,13.0,4.0,15.0,15.0,15.0,51.0,1.0
3.0,8.0,4.0,9.0,16.0,16.0,53.0,0.0
