l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,7.0,13.0,0.0,0.0,0.0,14.0
1.0,6.0,2.0,13.0,1.0,1.0,3.0,6.0
1.0,17.0,7.0,20.0,2.0,2.0,6.0,4.0
2.0,16.0,8.0,17.0,4.0,4.0,12.0,2.0
5.0,13.0,6.0,14.0,6.0,6.0,19.0,5.0
6.0,13.0,7.0,15.0,6.0,6.0,22.0,6.0
1.0,11.0,2.0,17.0,8.0,8.0,26.0,0.0
2.0,13.0,5.0,16.0,8.0,8.0,27.0,2.0
5.0,14.0,6.0,16.0,8.0,8.0,28.0,1.0
6.0,15.0,7.0,16.0,8.0,8.0,29.0,1.0
-0.0,14.0,1.0,18.0,8.0,8.0,30.0,0.0
-0.0,7.0,1.0,15.0,10.0,10.0,31.0,0.0
1.0,13.0,2.0,16.0,10.0,10.0,32.0,1.0
1.0,13.0,3.0,14.0,13.0,13.0,36.0,3.0
3.0,13.0,5.0,14.0,14.0,14.0,37.0,2.0
1.0,16.0,2.0,17.0,15.0,15.0,39.0,0.0
1.0,14.0,4.0,15.0,16.0,16.0,40.0,0.0
1.0,7.0,2.0,10.0,17.0,17.0,42.0,1.0
1.0,10.0,2.0,13.0,18.0,18.0,44.0,0.0
