l_l_m,l_l_n,u_r_m,u_r_n,n,u
8.0,0.0,10.0,3.0,6.0,6.0
8.0,3.0,10.0,17.0,6.0,6.0
8.0,17.0,10.0,20.0,6.0,6.0
6.0,14.0,7.0,15.0,6.0,6.0
7.0,14.0,8.0,17.0,6.0,6.0
7.0,3.0,8.0,14.0,6.0,6.0
7.0,2.0,8.0,3.0,6.0,6.0
