l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,5.0,5.0,12.0,0.0,0.0,0.0,15.0
7.0,13.0,8.0,17.0,3.0,3.0,9.0,3.0
4.0,12.0,5.0,13.0,4.0,4.0,11.0,7.0
8.0,3.0,9.0,11.0,5.0,5.0,12.0,1.0
5.0,10.0,7.0,11.0,5.0,5.0,13.0,9.0
7.0,9.0,8.0,11.0,5.0,5.0,14.0,6.0
5.0,11.0,8.0,12.0,7.0,7.0,18.0,9.0
7.0,7.0,8.0,9.0,7.0,7.0,19.0,4.0
5.0,9.0,7.0,10.0,9.0,9.0,22.0,6.0
5.0,12.0,7.0,13.0,10.0,10.0,25.0,5.0
5.0,8.0,6.0,9.0,10.0,10.0,26.0,5.0
6.0,8.0,7.0,9.0,11.0,11.0,28.0,4.0
5.0,6.0,6.0,8.0,12.0,12.0,29.0,3.0
6.0,7.0,7.0,8.0,12.0,12.0,30.0,3.0
8.0,11.0,9.0,15.0,13.0,13.0,31.0,0.0
4.0,13.0,7.0,14.0,13.0,13.0,32.0,0.0
7.0,6.0,8.0,7.0,13.0,13.0,34.0,0.0
6.0,6.0,7.0,7.0,14.0,14.0,38.0,0.0
7.0,12.0,8.0,13.0,15.0,15.0,40.0,1.0
