l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,6.0,7.0,13.0,0.0,0.0,0.0,16.0
2.0,0.0,8.0,2.0,2.0,2.0,6.0,2.0
8.0,0.0,10.0,3.0,3.0,3.0,8.0,1.0
8.0,9.0,9.0,12.0,7.0,7.0,20.0,1.0
5.0,5.0,8.0,6.0,11.0,11.0,28.0,2.0
8.0,5.0,9.0,9.0,11.0,11.0,29.0,0.0
1.0,5.0,4.0,6.0,13.0,13.0,31.0,3.0
3.0,2.0,5.0,4.0,16.0,16.0,35.0,0.0
5.0,3.0,8.0,4.0,16.0,16.0,36.0,0.0
4.0,5.0,5.0,6.0,16.0,16.0,37.0,1.0
5.0,4.0,7.0,5.0,16.0,16.0,39.0,0.0
7.0,7.0,8.0,8.0,16.0,16.0,40.0,2.0
7.0,8.0,8.0,12.0,17.0,17.0,41.0,2.0
7.0,6.0,8.0,7.0,17.0,17.0,42.0,1.0
