l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,4.0,3.0,12.0,0.0,0.0,0.0,2.0
3.0,5.0,6.0,12.0,0.0,0.0,1.0,23.0
6.0,5.0,8.0,11.0,0.0,0.0,2.0,9.0
6.0,7.0,8.0,13.0,1.0,1.0,3.0,1.0
2.0,12.0,6.0,13.0,1.0,1.0,4.0,9.0
1.0,12.0,2.0,13.0,1.0,1.0,5.0,15.0
1.0,13.0,4.0,14.0,2.0,2.0,6.0,7.0
2.0,5.0,3.0,12.0,3.0,3.0,7.0,20.0
1.0,7.0,2.0,10.0,3.0,3.0,8.0,18.0
6.0,11.0,8.0,12.0,3.0,3.0,9.0,14.0
1.0,4.0,2.0,7.0,4.0,4.0,10.0,4.0
2.0,4.0,4.0,5.0,4.0,4.0,11.0,5.0
2.0,4.0,4.0,5.0,4.0,4.0,12.0,0.0
1.0,10.0,2.0,12.0,4.0,4.0,13.0,14.0
2.0,12.0,3.0,13.0,4.0,4.0,14.0,5.0
1.0,2.0,4.0,4.0,5.0,5.0,15.0,3.0
4.0,3.0,8.0,5.0,5.0,5.0,16.0,1.0
4.0,2.0,5.0,3.0,6.0,6.0,17.0,1.0
-0.0,5.0,1.0,10.0,7.0,7.0,18.0,1.0
4.0,4.0,6.0,5.0,7.0,7.0,19.0,2.0
1.0,0.0,3.0,2.0,8.0,8.0,20.0,0.0
3.0,1.0,6.0,2.0,8.0,8.0,21.0,0.0
6.0,2.0,7.0,7.0,8.0,8.0,22.0,0.0
4.0,3.0,5.0,4.0,8.0,8.0,23.0,0.0
5.0,2.0,6.0,4.0,8.0,8.0,24.0,0.0
-0.0,3.0,1.0,6.0,8.0,8.0,25.0,0.0
6.0,12.0,8.0,13.0,9.0,9.0,26.0,8.0
1.0,6.0,2.0,7.0,9.0,9.0,27.0,7.0
4.0,13.0,5.0,16.0,10.0,10.0,28.0,1.0
5.0,13.0,8.0,15.0,10.0,10.0,29.0,4.0
1.0,14.0,4.0,16.0,10.0,10.0,30.0,1.0
6.0,4.0,8.0,5.0,11.0,11.0,31.0,0.0
-0.0,10.0,1.0,17.0,13.0,13.0,32.0,0.0
1.0,16.0,3.0,17.0,13.0,13.0,33.0,0.0
1.0,17.0,2.0,18.0,13.0,13.0,34.0,0.0
1.0,17.0,2.0,18.0,13.0,13.0,35.0,0.0
6.0,10.0,7.0,11.0,13.0,13.0,36.0,10.0
6.0,7.0,7.0,10.0,14.0,14.0,37.0,3.0
7.0,8.0,8.0,11.0,14.0,14.0,38.0,9.0
1.0,14.0,3.0,15.0,14.0,14.0,39.0,2.0
4.0,13.0,5.0,14.0,14.0,14.0,40.0,2.0
1.0,15.0,3.0,16.0,15.0,15.0,41.0,0.0
3.0,14.0,5.0,15.0,15.0,15.0,42.0,1.0
6.0,9.0,7.0,10.0,15.0,15.0,43.0,5.0
6.0,6.0,7.0,7.0,16.0,16.0,44.0,5.0
7.0,6.0,8.0,8.0,16.0,16.0,45.0,6.0
7.0,6.0,8.0,8.0,16.0,16.0,46.0,0.0
1.0,5.0,2.0,6.0,18.0,18.0,47.0,2.0
6.0,8.0,7.0,9.0,19.0,19.0,48.0,4.0
6.0,7.0,7.0,8.0,20.0,20.0,49.0,3.0
3.0,12.0,4.0,13.0,21.0,21.0,50.0,2.0
4.0,12.0,5.0,13.0,22.0,22.0,51.0,1.0
5.0,12.0,6.0,13.0,23.0,23.0,52.0,0.0
