l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,6.0,3.0,14.0,0.0,0.0,0.0,12.0
3.0,6.0,6.0,13.0,0.0,0.0,1.0,19.0
6.0,7.0,8.0,13.0,0.0,0.0,2.0,19.0
3.0,13.0,7.0,17.0,3.0,3.0,17.0,1.0
7.0,13.0,8.0,18.0,3.0,3.0,18.0,2.0
7.0,13.0,8.0,18.0,3.0,3.0,19.0,0.0
3.0,13.0,4.0,14.0,10.0,10.0,32.0,4.0
1.0,6.0,3.0,13.0,12.0,12.0,35.0,1.0
4.0,13.0,7.0,16.0,13.0,13.0,36.0,1.0
7.0,13.0,8.0,15.0,15.0,15.0,38.0,3.0
6.0,13.0,7.0,14.0,17.0,17.0,49.0,2.0
4.0,13.0,6.0,15.0,18.0,18.0,50.0,1.0
2.0,8.0,3.0,10.0,19.0,19.0,53.0,1.0
2.0,10.0,3.0,14.0,20.0,20.0,56.0,0.0
